id,text,lang,label,category,source,is_synthetic
30,Bereke Bank қауіпсіздік қызметі: 79 000 тг күдікті аударым. +7 772 359 82 30 нөміріне жедел хабарласыңыз,kk,scam,fake_bank,synthetic_template_kz,1
31,Повестка в суд по делу №17991. Материалы дела: wb-kz-rize.shop,ru,scam,fake_police,synthetic_template_kz,1
32,Kaspi Магазин: тауарыңыз сатылды. 25 800 тг алу үшін өтіңіз kaspi.kz.secure-login.cc,kk,scam,kaspi_scam,synthetic_template_kz,1
33,"На вас оформлен кредит мошенниками. Дело ведет Национальный Банк РК, оператор +7 755 853 52 96",ru,scam,fake_police,synthetic_template_kz,1
34,Kaspi: код 17273. Никому не сообщайте.,ru,safe,legitimate,synthetic_template_kz,1
35,Temu: сәлемдемеңіз кеденде тұр. 847 тг баж салығын төлеңіз: jusan-secure.info,kk,scam,phishing,synthetic_template_kz,1
36,izi: аптасына 672 тг жазылым қосылды. Өшіру *710#,kk,suspicious,grey_marketing,synthetic_template_kz,1
37,"Возврат страховки по кредиту. Проверьте, положена ли вам компенсация: +7 778 926 34 21",ru,suspicious,grey_marketing,synthetic_template_kz,1
38,Служба безопасности Eurasian Bank: подозрительный перевод на 72 000 тг. Свяжитесь с оператором +7 789 487 35 91 немедленно,ru,scam,fake_bank,synthetic_template_kz,1
39,№971300 тапсырысыңыз Яндекс Доставка пунктіне жетті. 5 күн ішінде алыңыз,kk,safe,legitimate,synthetic_template_kz,1
40,Заработок из дома от 71 000 тг в Hеделю. Пишите в WhatsApp +7 762 542 39 35,ru,suspicious,grey_marketing,synthetic_template_kz,1
41,Трейдинг курстары. Бірінші сбақ тегін. Тіркелу +7 719 594 22 24,kk,suspicious,grey_marketing,synthetic_template_kz,1
42,*2603 картаға 64 600 тг толықтырылды. Баланс 63 000 тг,kk,safe,legitimate,synthetic_template_kz,1
43,Бесплатная диагностика организма в нашей клинике. Запись на сегодня +7 706 771 71 77,ru,suspicious,grey_marketing,synthetic_template_kz,1
44,Курсы трейдинга. Первое занятие бесплатно. Запись +7 778 699 16 57,ru,suspicious,grey_marketing,synthetic_template_kz,1
45,Обновление базы ЕНПФ. Вам начислена выплата 30 000 тг. Получить: kaspi-gold.site,ru,scam,phishing,synthetic_template_kz,1
46,"Halyk Bank: жеке кабинетіңізге жаңа құрылғыдан кіру әрекеті тіркелді. Егер бұл сіз болмасаңыз, растаңыз: kaspi-bonus.top",kk,scam,fake_bank,synthetic_template_kz,1
47,Activ:  остаток  26 ГБ и 787 минут до 4.9,ru,safe,legitimate,synthetic_template_kz,1
48,Ерте тұру қажет болса ерте жат,kk,safe,legitimate,github_Yerassyl04_Spam-kazakh,0
49,Заработок из дома от 62 400 тг в неделю. Пишите в WhatsApp +7 709 336 70 10,ru,suspicious,grey_marketing,synthetic_template_kz,1
50,"Eurasian Bank: одобрен кредит на 27 300 тг. Если вы не подавали заявку, отмените здесь forte-cabinet.pro",ru,scam,fake_bank,synthetic_template_kz,1
51,"ForteBank: покупка 6 000 000 тг, карта *4272. Доступно 9 000 000 тг",ru,safe,legitimate,synthetic_template_kz,1
52,Kaspi Магазин: тауарыңыз сатылды. 7 000 000 тг алу үшін өтіңіз jusan-secre.info,kk,scam,kaspi_scam,synthetic_template_kz,1
53,"Требуются сотрудники, график свободный, оплата ежедневно 15 000 тг. Telegram по номеру +7 782 243 61 76",ru,suspicious,grey_marketing,synthetic_template_kz,1
54,Біздің жаңа жобамызды қараңыз.,kk,safe,legitimate,github_Yerassyl04_Spam-kazakh,0
55,Kaspi: перевод 64 000 тг от Гульнара ожидает подтверждения. Подтвердить: halyk-verify.xyz,ru,scam,kaspi_scam,synthetic_template_kz,1
56,Өзіңіздің медициналық тексеруіңізді жоспарлаңыз.,kk,safe,legitimate,github_Yerassyl04_Spam-kazakh,0
57,"Үйден жұмыс, аптасына 80 000 тг табыс. WhatsApp +7 778 413 10 47 жазыңыз",kk,suspicious,grey_marketing,synthetic_template_kz,1
58,ЖСН нөміріңіз заңсыз операцияда қолданылған. Тергеуші хабарласады: +7 719 809 18 28. Үшінші тұлғаларға айтпаңыз,kk,scam,fake_police,synthetic_template_kz,1
59,Одобрен займ до 7 000 000 тг без справок и залога. Оформить за 5 минут: egov.kz,ru,suspicious,grey_marketing,synthetic_template_kz,1
60,Ваш ИИН использован в незаконной операции. Следователь свяжется с вами: +7 717 530 49 92. Не сообщайте третьим лицам,ru,scam,fake_police,synthetic_template_kz,1
61,Одобрен займ до 5 000 000 тг без справок и залога. Оформить за 5 минут: kaspi.kz,ru,suspicious,grey_marketing,synthetic_template_kz,1
62,Tele2: SIM картаңыздың мерзімі бітуде. Тіркеуді ұзартыңыз kz-vyigrysh.net,kk,scam,phishing,synthetic_template_kz,1
63,"Такси прибыло. Chevrolet Cobalt, гос. ноер 832 CCF 01",ru,safe,legitimate,synthetic_template_kz,1
64,Мерейтойлық ұтыс! Сізге 80 600 тг бонус есептелді. Шығару үшін 9771 тг комиссия төлеңіз,kk,scam,fake_prize,synthetic_template_kz,1
65,Сіздің жүлдеіңіз дайын!,kk,suspicious,grey_marketing,github_Yerassyl04_Spam-kazakh,0
66,Kaspi: Әйгерім жіберген 70 000 тг аударым растауды күтуде. Растау: gov-kz.support,kk,scam,kaspi_scam,synthetic_template_kz,1
67,Kaspi Red: рассрочка на 9 000 000 тг оформлена. Отменить gov-kz.support,ru,scam,kaspi_scam,synthetic_template_kz,1
68,"Мама, я задержусь, буду примерно к 21 часам",ru,safe,legitimate,synthetic_template_kz,1
69,"Возврат страховки по кредиту. Проверьте, положена ли вам компенсация: +7 704 665 48 31",ru,suspicious,grey_marketing,synthetic_template_kz,1
70,Одобрен займ до 4 000 000 тг без справок и залога. Оформить за 5 минут: halykbank.kz,ru,suspicious,grey_marketing,synthetic_template_kz,1
71,Тек бүгін ғана - ақшаны қайтарып алыңыз!,kk,suspicious,grey_marketing,github_Yerassyl04_Spam-kazakh,0
72,СДЭК: неверный адрес доставки. Уточниtе данные jusan-secure.info иначе заказ вернeтся отправиtелю,ru,scam,phishing,synthetic_template_kz,1
73,"Altel: тариф продлен, списано 2668 тг. Следующее списание 16.12",ru,safe,legitimate,synthetic_template_kz,1
74,Сот орындаушылары: сіздің атыңызға іс қозғалды. Танысу үшін kaspi.kz.secure-login.cc,kk,scam,fake_police,synthetic_template_kz,1
75,Beeline: подключена подписка за 498 тг/нед. Отключить *371#,ru,suspicious,grey_marketing,synthetic_template_kz,1
76,"Мама, я задержусь, буду примерно к 20 часам 🔴",ru,safe,legitimate,synthetic_template_kz,1
77,Temu: сәлемдемеңіз кеденде тұр. 1668 тг баж салығын төлеңіз: forte-cabinet.pro,kk,scam,phishing,synthetic_template_kz,1
78,Только сегодня! Скидка 61% на все товары в Kaspi Магазин. Успей до полуночи,ru,suspicious,grey_marketing,synthetic_template_kz,1
79,"Такси прибыло. Kia Rio, гоc. Hомер 727 AKR 08",ru,safe,legitimate,synthetic_template_kz,1
80,"Встpеча группы SE-2421 в 10:00, коpпyс 1",ru,safe,legitimate,synthetic_template_kz,1
81,"Бағдарламалау сабағы 16:00-ге ауыстырылды, 367 аудитория",kk,safe,legitimate,synthetic_template_kz,1
82,"Здравствуйте, я по объявлению на Kaspi. Уже оплатил, подтвердитe получение по ссылке kaspi-gold.site",ru,scam,kaspi_scam,synthetic_template_kz,1
83,"Қызметкерлер қажет, кесте еркін, күнделікті төлем 29 000 тг. Telegram +7 780 203 89 21",kk,suspicious,grey_marketing,synthetic_template_kz,1
84,"Внимание! Ваша карта *1645 скомпрометирована. Переведите средства на резервный счет, инструкция: kaspi-bonus.top",ru,scam,fake_bank,synthetic_template_kz,1
85,"Ағылшын тілі сабағы 15:00-ге ауыстырылды, 360 аудитория",kk,safe,legitimate,synthetic_template_kz,1
86,Ваш заказ №616333 прибыл в пункт выдачи Kaspi Postomat. Забрать в течение 5 дней,ru,safe,legitimate,synthetic_template_kz,1
87,Kaspi: код 288067. Ешкімге айтпаңыз.,kk,safe,legitimate,synthetic_template_kz,1
88,Повестка в суд по делу №20639. Материалы дела: jusan-secure.info,ru,scam,fake_police,synthetic_template_kz,1
89,"Здравствуйте, я по объявлеHию на Kaspi. Уже оплатил, подтвердиtе пoлучение по ссылке kaspi-bonus.top",ru,scam,kaspi_scam,synthetic_template_kz,1
90,Сізге  43  000 тг сомасына Kaspi Bonus 10% түсті. Белсендіру enpf-vyplata.ru,kk,scam,kaspi_scam,synthetic_template_kz,1
91,Kaspi: перевод 79 400 тг от Ерлан ожидает подтверждения. Подтвердить: wb-kz-prize.shop,ru,scam,kaspi_scam,synthetic_template_kz,1
92,БЖЗҚ дерекқоры жаңартылды. Сізге 15 000 тг төлем есептелді. Алу: kaspi-gold.site,kk,scam,phishing,synthetic_template_kz,1
93,"Ерлан, сізге 85 100 тг төлем мақұлданды. Деректерді осында енгізіңіз kaspi.kz.secure-login.cc",kk,scam,fake_prize,synthetic_template_kz,1
94,Ваш код подтверждения для входа: 996630,ru,safe,legitimate,synthetic_template_kz,1
95,"63  000  тг бастап инвестиция, айына 55% табыс. Кеңес +7 722 734 49 51",kk,suspicious,grey_marketing,synthetic_template_kz,1
96,Только сегодня! Скидка 79% на все товары в Wildberries. Успей до полуночи,ru,suspicious,grey_marketing,synthetic_template_kz,1
97,Трейдинг курстары. Бірінші сабақ тегін. Тіркелу +7 700 287 92 60,kk,suspicious,grey_marketing,synthetic_template_kz,1
98,"Данияр, вам доступен персональный кредитный лимит 25 000 тг. Подробнее в приложении",ru,suspicious,grey_marketing,synthetic_template_kz,1
99,"Бағдарламалау сабағы 12:00-ге ауыстырылды, 306 аудитория",kk,safe,legitimate,synthetic_template_kz,1
100,Курcы трейдинга. Первое заняtие бесплатнo. Запись +7 782 390 27 33,ru,suspicious,grey_marketing,synthetic_template_kz,1
101,КОМИТЕТ ГОСДОХОДОВ: НА ВАШЕ ИМЯ ЗАВЕДЕНО ПРОИЗВОДСТВО. ЯВИТЕСЬ ИЛИ ОЗНАКОМЬТЕСЬ GOV-KZ.SUPPORT,ru,scam,fake_police,synthetic_template_kz,1
102,Кіру үшін растау кодыңыз: 448461,kk,safe,legitimate,synthetic_template_kz,1
103,Мемлекеттік кірістер комитеті. Шоттарыңызға тыйым салынды. Шектеуді 2 сағат ішінде алу: jusan-secure.info,kk,scam,fake_police,synthetic_template_kz,1
104,Kaspi Red: рассpочка на 7 000 000 тг оформленa. Оtменить halyk-verify.xyz,ru,scam,kaspi_scam,synthetic_template_kz,1
105,Сатып алғаныңыз үшін рахмеt! Түбіpтеk wildberries.kz сайтында,kk,safe,legitimate,synthetic_template_kz,1
106,"Ана, мен кешігемін, шамамен 21-де боламын ⚠️",kk,safe,legitimate,synthetic_template_kz,1
107,Еске салу: оқу ақысын 28.8 дейін төлеу қажет. Сома 46 500 тг,kk,safe,legitimate,synthetic_template_kz,1
108,"Kaspi Gold: код 90811. Никому не сообщайте. Если это не вы, звоните +7 741 610 58 78",ru,scam,kaspi_scam,synthetic_template_kz,1
109,Напоминание: срок оплаты за обучение дo 17.10. Сyмма 31 000 тг,ru,safe,legitimate,synthetic_template_kz,1
110,Деректеріңіз расталмағандықтан шотыңыз жедел түрде жабылады. Сауалнаманы жаңартыңыз: enpf-vyplata.ru,kk,scam,fake_bank,synthetic_template_kz,1
111,Құттықтаймыз! Сіз Jusan Bank ұтыс ойынында 1 000 000 тг ұттыңыз. Жүлдені алу: kaspi-gold.site,kk,scam,fake_prize,synthetic_template_kz,1
112,"Kaspi Gold: код 720585. Никому не сообщайте. Если это не вы, звоните +7 724 181 33 15",ru,scam,kaspi_scam,synthetic_template_kz,1
113,"Tele2: тариф продлен, списано 3481 тг. Следующее списание 11.4",ru,safe,legitimate,synthetic_template_kz,1
114,"Инвестиции от 53 000 тг, доход 37% в месяц. Консультация +7 799 299 97 55",ru,suspicious,grey_marketing,synthetic_template_kz,1
115,Еске  салу:  оқу ақысын 6.1 дейін төлеу қажет. Сома 2 000 000 тг,kk,safe,legitimate,synthetic_template_kz,1
116,Бүгін ғана: электронды құрылғыларда үлкен жеңілдіктер!,kk,suspicious,grey_marketing,github_Yerassyl04_Spam-kazakh,0
117,Kaspi Магазин: тауарыңыз сатылды. 82 300 tг алу үшін өtіңіз kaspi.kz.secure-login.cc,kk,scam,kaspi_scam,synthetic_template_kz,1
118,eGov аккаунтыңыз 23:59-ға дейін жойылады. ЖСН растаңыз: forte-cabinet.pro,kk,scam,phishing,synthetic_template_kz,1
119,"Крипто-сигналы с точностью 80%. Первый месяц бесплатно, канал по ссылке в профиле",ru,suspicious,grey_marketing,synthetic_template_kz,1
120,Орнынан тұрмай ақша тапқын келсе,kk,suspicious,grey_marketing,github_Yerassyl04_Spam-kazakh,0
121,Tele2: остаток 1 ГБ и 648 минут до 7.10,ru,safe,legitimate,synthetic_template_kz,1
122,"izi: тариф продлен, списано 5108 тг. Следующее списание 21.11",ru,safe,legitimate,synthetic_template_kz,1
123,"Ана, мен кешігемін, шамамен 21-де боламын",kk,safe,legitimate,synthetic_template_kz,1
124,"Такси прибыло. Toyota Camry, гос. номер 536 SCE 07",ru,safe,legitimate,synthetic_template_kz,1
125,"Halk Bank: покупка 7 000 000 тг, карта *3257. Доступно 6 000 000 тг",ru,safe,legitimate,synthetic_template_kz,1
126,Көпшілік ортада еркін сөйлегіңіз келеді ме?,kk,safe,legitimate,github_Yerassyl04_Spam-kazakh,0
127,*5538 картаға 40 800 тг толықтырылды. Баланс 56 200 тг,kk,safe,legitimate,synthetic_template_kz,1
128,"Несие бойынша сақтандыруды қайтару. Өтемақы тиесілі ме, тексеріңіз: +7 777 111 92 37",kk,suspicious,grey_marketing,synthetic_template_kz,1
129,Обновление базы ЕНПФ. Вам начислена выплата 91 000 тг. Получить: jusan-secure.info ⚠️,ru,scam,phishing,synthetic_template_kz,1
130,"Eurasian Bank: зафиксирована попытка входа в ваш кабинет с нового устройства. Если это не вы, подтвердите личность: halyk-verify.xyz",ru,scam,fake_bank,synthetic_template_kz,1
131,"Возврат страховки по кредиту. Проверьте, положена ли вам компенсация: +7 747 700 99 29",ru,suspicious,grey_marketing,synthetic_template_kz,1
132,Boxberry: жеткізу мекенжайы қате. Деректерді Hақтылаңыз kaspi-gold.site,kk,scam,phishing,synthetic_template_kz,1
133,Ваша заявка на карту рассмотрена. Перезвоните +7 711 852 89 25 для активации,ru,suspicious,grey_marketing,synthetic_template_kz,1
134,Повестка в суд по делу №82718. Материалы дела: halyk-verify.xyz,ru,scam,fake_police,synthetic_template_kz,1
135,"Jusan Bank: жеке кабинетіңізге жаңа құрылғыдан кіру әрекеті тіркелді. Егер бұл сіз болмасаңыз, растаңыз: kaspi-bonus.top",kk,scam,fake_bank,synthetic_template_kz,1
136,"Сәлеметсіз  бе,  Kaspi-дегі хабарландыру бойынша жазып тұрмын. Төледім, сілтеме арқылы растаңыз wb-kz-prize.shop",kk,scam,kaspi_scam,synthetic_template_kz,1
137,Ваш аккаунт eGov будет удален в течеHие 2 часов. Подтвердите ИИН: egov-kz.online,ru,scam,phishing,synthetic_template_kz,1
138,"Здравствуйте, я по объявлению на Kaspi. Уже оплатил, подтвердите получение по ссылке kaspi-bonus.top",ru,scam,kaspi_scam,synthetic_template_kz,1
139,"Сәлеметсіз бе, Kaspi-деі хабарландыру бойынша жазып тұрмын. Төледім, сілтеме арқылы растаңыз bonus-kz.click",kk,scam,kaspi_scam,synthetic_template_kz,1
140,Картаға өтінішіңіз қаралды. Белсендіру үшін +7 764 602 59 72 нөміріне қоңырау шалыңыз,kk,suspicious,grey_marketing,synthetic_template_kz,1
141,Пополнение 71 000 тг на карту *3295. Баланс 6 000 000 тг,ru,safe,legitimate,synthetic_template_kz,1
142,Ваш счет будет закрыт сегодня до 18:00 из-за неподтвержденных данных. Обновите анкету: enpf-vyplata.ru,ru,scam,fake_bank,synthetic_template_kz,1
143,Вам поступил Kaspi Bonus 4% на 29 700 тг. Активация halyk-verify.xyz,ru,scam,kaspi_scam,synthetic_template_kz,1
144,"Үйден жұмыс, аптасына 88 000 тг табыс. WhatsApp +7 766 205 21 59 жазыңыз",kk,suspicious,grey_marketing,synthetic_template_kz,1
145,"Тaкси прибыло. Hyundai Accent, гос. номeр 199 FRA 08",ru,safe,legitimate,synthetic_template_kz,1
146,Сіздің ұтысыңыз туралы хабарлама!,kk,scam,fake_prize,github_Yerassyl04_Spam-kazakh,0
147,Temu: посылка задержана на таможне. Оплатите пошлину 2271 тг: kaspi-gold.site,ru,scam,phishing,synthetic_template_kz,1
148,Деректеріңіз расталмағандықтан шотыңыз жедел түрде жабылады. Сауалнаманы жаңартыңыз: beeline-bonus.icu,kk,scam,fake_bank,synthetic_template_kz,1
149,"Требуются сотрудники, график свободный, оплата ежедневно 19 000 тг. Telegram по номеру +7 732 413 74 47",ru,suspicious,grey_marketing,synthetic_template_kz,1
150,"Үйден жұмыс, аптасына 75 000 тг табыс. WhatsApp +7 757 233 58 74 жазыңыз",kk,suspicious,grey_marketing,synthetic_template_kz,1
151,"Сәлеметсіз бе, Әсел! Ертең сағат 12:00-де дәрігерге жазылғаныңызды еске саламыз",kk,safe,legitimate,synthetic_template_kz,1
152,Одобрен займ до 84 000 тг без справок и залога. Оформить за 5 минут: beeline.kz,ru,suspicious,grey_marketing,synthetic_template_kz,1
153,Вам поступил Kaspi Bonus 15% на 7 000 000 тг. Активация forte-cabinet.pro,ru,scam,kaspi_scam,synthetic_template_kz,1
154,"Beeline: тариф ұзартылды, 4187 тг есептен шығарылды",kk,safe,legitimate,synthetic_template_kz,1
155,Сенбі күні футбол ойыны болады.,kk,safe,legitimate,github_Yerassyl04_Spam-kazakh,0
156,Activ: срок действия SIM истекает. Продлите регистрацию beeline-bonus.icu,ru,scam,phishing,synthetic_template_kz,1
157,Повестка  в  суд по делу №38578. Материалы дела: halyk-verify.xyz,ru,scam,fake_police,synthetic_template_kz,1
158,"Возврат страховки по кредиту. Проверьте, положена ли вам компенсация: +7 734 254 62 63",ru,suspicious,grey_marketing,synthetic_template_kz,1
159,АЭС жайлы ақпарат алу қажет,kk,safe,legitimate,github_Yerassyl04_Spam-kazakh,0
160,Kaspi: перевод 4 000 000 тг от Мадина ожидaет подтверждения. Пoдтвердить: egov-kz.online,ru,scam,kaspi_scam,synthetic_template_kz,1
161,Тек бүгін! Temu дүкенінде барлық тауарға 50% жеңілдік. Түн ортасына дейін үлгеріңіз,kk,suspicious,grey_marketing,synthetic_template_kz,1
162,Розыгрыш к 30-летию! Вам начислен бонус 24 000 тг. Для вывода оплатите комиссию 4550 тг,ru,scam,fake_prize,synthetic_template_kz,1
163,"izi: 21 ГБ және 727 минут қалды, 19.2 дейін",kk,safe,legitimate,synthetic_template_kz,1
164,ПОЗДРАВЛЯЕМ! ВЫ ВЫИГРАЛИ 36 500 ТГ В РОЗЫГРЫШЕ BEREKE BANK. ЗАБРАТЬ ПРИЗ: KZ-VYIGRYSH.NET,ru,scam,fake_prize,synthetic_template_kz,1
165,"Оплата ЖКХ за февраль принята, сумма 64 000 тг",ru,safe,legitimate,synthetic_template_kz,1
166,"SE-2420 тобының жиналысы 12:00-де, 3 корпус",kk,safe,legitimate,synthetic_template_kz,1
167,БЖЗҚ дерекқоры жаңартылды. Сізге 85 000 тг төлем есептелді. Алу: bonus-kz.click,kk,scam,phishing,synthetic_template_kz,1
168,"izi: тариф продлeн, списано 5150 тг. Следующеe списание 2.3",ru,safe,legitimate,synthetic_template_kz,1
169,Нөміріңіз зейнетақыны қайtа есептеуге қатысады. ФорmаHы толтырыңыз kaspi-gold.site,kk,scam,phishing,synthetic_template_kz,1
170,"Алгебра сабағы 14:00-ге ауыстырылды, 219 аудитория",kk,safe,legitimate,synthetic_template_kz,1
171,Тек қазір: 90%-ға дейін жеңілдіктер!,kk,suspicious,grey_marketing,github_Yerassyl04_Spam-kazakh,0
172,Ваш код подтверждения для входа: 683511,ru,safe,legitimate,synthetic_template_kz,1
173,eGov: ваша справка готова. Скачать в мобильном приложении или на wildberries.kz,ru,safe,legitimate,synthetic_template_kz,1
174,Розыгрыш  к  30-летию! Вам начислен бонус 78 700 тг. Для вывода оплатите комиссию 3946 тг,ru,scam,fake_prize,synthetic_template_kz,1
175,Ваш номер выбран победителем акции Tele2! Приз 79 000 тг. Подтвердите: halyk-verify.xyz,ru,scam,fake_prize,synthetic_template_kz,1
176,Altel: остаток 21 ГБ и 623 минут до 11.6,ru,safe,legitimate,synthetic_template_kz,1
177,Kaspi: код 879747. Ешкімге айтпаңыз.,kk,safe,legitimate,synthetic_template_kz,1
178,Сізге 5 000 000 тг сомасына Kaspi Bonus 14% түсті. Белсендіру beeline-bonus . icu,kk,scam,kaspi_scam,synthetic_template_kz,1
179,КНБ РК. Наложен арест на счета. Снять ограничение в течение 2 часов: wb-kz-prize.shop,ru,scam,fake_police,synthetic_template_kz,1
180,№973706 тапсырысыңыз Boxberry пунктіне жетті. 5 күн ішінде алыңыз,kk,safe,legitimate,synthetic_template_kz,1
181,"Возврат страховки по кредиту. Проверьте, положена ли вам компенсация: +7 774 381 72 55",ru,suspicious,grey_marketing,synthetic_template_kz,1
182,"Внимание! Ваша кaрtа *7091 скомпрометированa. Переведите средства на резервный счет, инструкция: kaspi-bonus.top",ru,scam,fake_bank,synthetic_template_kz,1
183,"Оплата ЖКХ за май принята, сумма 83 000 тг",ru,safe,legitimate,synthetic_template_kz,1
184,Beeline:  подключена  подписка за 404 тг/нед. Отключить *524#,ru,suspicious,grey_marketing,synthetic_template_kz,1
185,"УРА! Мадина, вам одобрена выплата 72 700 тг. Реквизиты укажите тут gov-kz.support",ru,scam,fake_prize,synthetic_template_kz,1
186,Ваш номер участвует в перерасчете пенсии. Заполните форму forte-cabinet.pro до конца недели,ru,scam,phishing,synthetic_template_kz,1
187,"Otbasy Bank: 50 000 тг сатып алу, карта *4683. Қолетімді 41 000 тг",kk,safe,legitimate,synthetic_template_kz,1
188,Kaspi Gold: код 849483. Ешкімге айтпаңыз. Егер бұл сіз болмасаңыз +7 764 115 13 91 нөміріне қоңырау шалыңыз,kk,scam,kaspi_scam,synthetic_template_kz,1
189,Антифрод-центр. Наложен арест на счета. Снять ограничение до конца дня: wb-kz-prize.shop,ru,scam,fake_police,synthetic_template_kz,1
190,Достарымен бірге демалыс өткізу туралы идеялар.,kk,safe,legitimate,github_Yerassyl04_Spam-kazakh,0
191,"Сізге алаяқтар несие рәсімдеген. Істі Антифрод орталығы жүргізуде, оператор +7 747 305 97 32",kk,scam,fake_police,synthetic_template_kz,1
192,Ваша заявка на карту рассмотрена. Перезвоните +7 700 740 25 38 для активации,ru,suspicious,grey_marketing,synthetic_template_kz,1
193,№155776 тапсырысыңыз Яндекс Доставка пунктіне жетті. 5 күн ішінде алыңыз 🔴,kk,safe,legitimate,synthetic_template_kz,1
194,Картаға өтінішіңіз қаралды. Белсендіру үшін +7 727 493 63 21 нөміріне қоңыpау шалыңыз,kk,suspicious,grey_marketing,synthetic_template_kz,1
195,"Halyk Bank: покупка 51 000 тг, карта *3082. Доступно 7 000 000 тг",ru,safe,legitimate,synthetic_template_kz,1
196,Kaspi: код 542717. Ешкімге айтпаңыз.,kk,safe,legitimate,synthetic_template_kz,1
197,"Здравствуйте, я по объявлению на Kaspi. Уже оплатил, подтвердите получение по ссылке kz-vyigrysh.net",ru,scam,kaspi_scam,synthetic_template_kz,1
198,Kaspi Red: рассрочка на 6 000 000 тг оформлена. Отменить jusan-secure.info,ru,scam,kaspi_scam,synthetic_template_kz,1
199,№713046 тапсырысыңыз СДЭК пунктіне жетті. 5 күн ішінде алыңыз,kk,safe,legitimate,synthetic_template_kz,1
200,"Үйден жұмыс, аптасына 77 000 тг табыс. WhatsApp +7 759 161 34 18 жазыңыз",kk,suspicious,grey_marketing,synthetic_template_kz,1
