text,label,category,lang,source
СДЭК: неверный адрес доставки. Уточниtе данные jusan-secure.info иначе заказ вернeтся отправиtелю,scam,phishing,ru,synthetic_template_kz
"Altel: тариф продлен, списано 2668 тг. Следующее списание 16.12",safe,,ru,synthetic_template_kz
Сот орындаушылары: сіздің атыңызға іс қозғалды. Танысу үшін kaspi.kz.secure-login.cc,scam,fake_police,kk,synthetic_template_kz
Beeline: подключена подписка за 498 тг/нед. Отключить *371#,suspicious,,ru,synthetic_template_kz
"Мама, я задержусь, буду примерно к 20 часам 🔴",safe,,ru,synthetic_template_kz
Temu: сәлемдемеңіз кеденде тұр. 1668 тг баж салығын төлеңіз: forte-cabinet.pro,scam,phishing,kk,synthetic_template_kz
Только сегодня! Скидка 61% на все товары в Kaspi Магазин. Успей до полуночи,suspicious,,ru,synthetic_template_kz
"Такси прибыло. Kia Rio, гоc. Hомер 727 AKR 08",safe,,ru,synthetic_template_kz
"Встpеча группы SE-2421 в 10:00, коpпyс 1",safe,,ru,synthetic_template_kz
"Бағдарламалау сабағы 16:00-ге ауыстырылды, 367 аудитория",safe,,kk,synthetic_template_kz
"Здравствуйте, я по объявлению на Kaspi. Уже оплатил, подтвердитe получение по ссылке kaspi-gold.site",scam,kaspi_scam,ru,synthetic_template_kz
"Қызметкерлер қажет, кесте еркін, күнделікті төлем 29 000 тг. Telegram +7 780 203 89 21",suspicious,,kk,synthetic_template_kz
"Внимание! Ваша карта *1645 скомпрометирована. Переведите средства на резервный счет, инструкция: kaspi-bonus.top",scam,fake_bank,ru,synthetic_template_kz
"Ағылшын тілі сабағы 15:00-ге ауыстырылды, 360 аудитория",safe,,kk,synthetic_template_kz
Ваш заказ №616333 прибыл в пункт выдачи Kaspi Postomat. Забрать в течение 5 дней,safe,,ru,synthetic_template_kz
Kaspi: код 288067. Ешкімге айтпаңыз.,safe,,kk,synthetic_template_kz
Повестка в суд по делу №20639. Материалы дела: jusan-secure.info,scam,fake_police,ru,synthetic_template_kz
"Здравствуйте, я по объявлеHию на Kaspi. Уже оплатил, подтвердиtе пoлучение по ссылке kaspi-bonus.top",scam,kaspi_scam,ru,synthetic_template_kz
Сізге  43  000 тг сомасына Kaspi Bonus 10% түсті. Белсендіру enpf-vyplata.ru,scam,kaspi_scam,kk,synthetic_template_kz
Kaspi: перевод 79 400 тг от Ерлан ожидает подтверждения. Подтвердить: wb-kz-prize.shop,scam,kaspi_scam,ru,synthetic_template_kz
БЖЗҚ дерекқоры жаңартылды. Сізге 15 000 тг төлем есептелді. Алу: kaspi-gold.site,scam,phishing,kk,synthetic_template_kz
"Ерлан, сізге 85 100 тг төлем мақұлданды. Деректерді осында енгізіңіз kaspi.kz.secure-login.cc",scam,fake_prize,kk,synthetic_template_kz
Ваш код подтверждения для входа: 996630,safe,,ru,synthetic_template_kz
"63  000  тг бастап инвестиция, айына 55% табыс. Кеңес +7 722 734 49 51",suspicious,,kk,synthetic_template_kz
Только сегодня! Скидка 79% на все товары в Wildberries. Успей до полуночи,suspicious,,ru,synthetic_template_kz
Трейдинг курстары. Бірінші сабақ тегін. Тіркелу +7 700 287 92 60,suspicious,,kk,synthetic_template_kz
"Данияр, вам доступен персональный кредитный лимит 25 000 тг. Подробнее в приложении",suspicious,,ru,synthetic_template_kz
"Бағдарламалау сабағы 12:00-ге ауыстырылды, 306 аудитория",safe,,kk,synthetic_template_kz
Курcы трейдинга. Первое заняtие бесплатнo. Запись +7 782 390 27 33,suspicious,,ru,synthetic_template_kz
КОМИТЕТ ГОСДОХОДОВ: НА ВАШЕ ИМЯ ЗАВЕДЕНО ПРОИЗВОДСТВО. ЯВИТЕСЬ ИЛИ ОЗНАКОМЬТЕСЬ GOV-KZ.SUPPORT,scam,fake_police,ru,synthetic_template_kz
Кіру үшін растау кодыңыз: 448461,safe,,kk,synthetic_template_kz
Мемлекеттік кірістер комитеті. Шоттарыңызға тыйым салынды. Шектеуді 2 сағат ішінде алу: jusan-secure.info,scam,fake_police,kk,synthetic_template_kz
Kaspi Red: рассpочка на 7 000 000 тг оформленa. Оtменить halyk-verify.xyz,scam,kaspi_scam,ru,synthetic_template_kz
Сатып алғаныңыз үшін рахмеt! Түбіpтеk wildberries.kz сайтында,safe,,kk,synthetic_template_kz
"Ана, мен кешігемін, шамамен 21-де боламын ⚠️",safe,,kk,synthetic_template_kz
Еске салу: оқу ақысын 28.8 дейін төлеу қажет. Сома 46 500 тг,safe,,kk,synthetic_template_kz
"Kaspi Gold: код 90811. Никому не сообщайте. Если это не вы, звоните +7 741 610 58 78",scam,kaspi_scam,ru,synthetic_template_kz
Напоминание: срок оплаты за обучение дo 17.10. Сyмма 31 000 тг,safe,,ru,synthetic_template_kz
Деректеріңіз расталмағандықтан шотыңыз жедел түрде жабылады. Сауалнаманы жаңартыңыз: enpf-vyplata.ru,scam,fake_bank,kk,synthetic_template_kz
Құттықтаймыз! Сіз Jusan Bank ұтыс ойынында 1 000 000 тг ұттыңыз. Жүлдені алу: kaspi-gold.site,scam,fake_prize,kk,synthetic_template_kz
"Kaspi Gold: код 720585. Никому не сообщайте. Если это не вы, звоните +7 724 181 33 15",scam,kaspi_scam,ru,synthetic_template_kz
"Tele2: тариф продлен, списано 3481 тг. Следующее списание 11.4",safe,,ru,synthetic_template_kz
"Инвестиции от 53 000 тг, доход 37% в месяц. Консультация +7 799 299 97 55",suspicious,,ru,synthetic_template_kz
Еске  салу:  оқу ақысын 6.1 дейін төлеу қажет. Сома 2 000 000 тг,safe,,kk,synthetic_template_kz
Бүгін ғана: электронды құрылғыларда үлкен жеңілдіктер!,suspicious,,kk,github_Yerassyl04_Spam-kazakh
Kaspi Магазин: тауарыңыз сатылды. 82 300 tг алу үшін өtіңіз kaspi.kz.secure-login.cc,scam,kaspi_scam,kk,synthetic_template_kz
eGov аккаунтыңыз 23:59-ға дейін жойылады. ЖСН растаңыз: forte-cabinet.pro,scam,phishing,kk,synthetic_template_kz
"Крипто-сигналы с точностью 80%. Первый месяц бесплатно, канал по ссылке в профиле",suspicious,,ru,synthetic_template_kz
Орнынан тұрмай ақша тапқын келсе,suspicious,,kk,github_Yerassyl04_Spam-kazakh
Tele2: остаток 1 ГБ и 648 минут до 7.10,safe,,ru,synthetic_template_kz
"izi: тариф продлен, списано 5108 тг. Следующее списание 21.11",safe,,ru,synthetic_template_kz
"Ана, мен кешігемін, шамамен 21-де боламын",safe,,kk,synthetic_template_kz
"Такси прибыло. Toyota Camry, гос. номер 536 SCE 07",safe,,ru,synthetic_template_kz
"Halk Bank: покупка 7 000 000 тг, карта *3257. Доступно 6 000 000 тг",safe,,ru,synthetic_template_kz
Көпшілік ортада еркін сөйлегіңіз келеді ме?,safe,,kk,github_Yerassyl04_Spam-kazakh
*5538 картаға 40 800 тг толықтырылды. Баланс 56 200 тг,safe,,kk,synthetic_template_kz
"Несие бойынша сақтандыруды қайтару. Өтемақы тиесілі ме, тексеріңіз: +7 777 111 92 37",suspicious,,kk,synthetic_template_kz
Обновление базы ЕНПФ. Вам начислена выплата 91 000 тг. Получить: jusan-secure.info ⚠️,scam,phishing,ru,synthetic_template_kz
"Eurasian Bank: зафиксирована попытка входа в ваш кабинет с нового устройства. Если это не вы, подтвердите личность: halyk-verify.xyz",scam,fake_bank,ru,synthetic_template_kz
"Возврат страховки по кредиту. Проверьте, положена ли вам компенсация: +7 747 700 99 29",suspicious,,ru,synthetic_template_kz
Boxberry: жеткізу мекенжайы қате. Деректерді Hақтылаңыз kaspi-gold.site,scam,phishing,kk,synthetic_template_kz
Ваша заявка на карту рассмотрена. Перезвоните +7 711 852 89 25 для активации,suspicious,,ru,synthetic_template_kz
Повестка в суд по делу №82718. Материалы дела: halyk-verify.xyz,scam,fake_police,ru,synthetic_template_kz
"Jusan Bank: жеке кабинетіңізге жаңа құрылғыдан кіру әрекеті тіркелді. Егер бұл сіз болмасаңыз, растаңыз: kaspi-bonus.top",scam,fake_bank,kk,synthetic_template_kz
"Сәлеметсіз  бе,  Kaspi-дегі хабарландыру бойынша жазып тұрмын. Төледім, сілтеме арқылы растаңыз wb-kz-prize.shop",scam,kaspi_scam,kk,synthetic_template_kz
Ваш аккаунт eGov будет удален в течеHие 2 часов. Подтвердите ИИН: egov-kz.online,scam,phishing,ru,synthetic_template_kz
"Здравствуйте, я по объявлению на Kaspi. Уже оплатил, подтвердите получение по ссылке kaspi-bonus.top",scam,kaspi_scam,ru,synthetic_template_kz
"Сәлеметсіз бе, Kaspi-деі хабарландыру бойынша жазып тұрмын. Төледім, сілтеме арқылы растаңыз bonus-kz.click",scam,kaspi_scam,kk,synthetic_template_kz
Картаға өтінішіңіз қаралды. Белсендіру үшін +7 764 602 59 72 нөміріне қоңырау шалыңыз,suspicious,,kk,synthetic_template_kz
Пополнение 71 000 тг на карту *3295. Баланс 6 000 000 тг,safe,,ru,synthetic_template_kz
Ваш счет будет закрыт сегодня до 18:00 из-за неподтвержденных данных. Обновите анкету: enpf-vyplata.ru,scam,fake_bank,ru,synthetic_template_kz
Вам поступил Kaspi Bonus 4% на 29 700 тг. Активация halyk-verify.xyz,scam,kaspi_scam,ru,synthetic_template_kz
"Үйден жұмыс, аптасына 88 000 тг табыс. WhatsApp +7 766 205 21 59 жазыңыз",suspicious,,kk,synthetic_template_kz
"Тaкси прибыло. Hyundai Accent, гос. номeр 199 FRA 08",safe,,ru,synthetic_template_kz
Сіздің ұтысыңыз туралы хабарлама!,scam,fake_prize,kk,github_Yerassyl04_Spam-kazakh
Temu: посылка задержана на таможне. Оплатите пошлину 2271 тг: kaspi-gold.site,scam,phishing,ru,synthetic_template_kz
Деректеріңіз расталмағандықтан шотыңыз жедел түрде жабылады. Сауалнаманы жаңартыңыз: beeline-bonus.icu,scam,fake_bank,kk,synthetic_template_kz
"Требуются сотрудники, график свободный, оплата ежедневно 19 000 тг. Telegram по номеру +7 732 413 74 47",suspicious,,ru,synthetic_template_kz
"Үйден жұмыс, аптасына 75 000 тг табыс. WhatsApp +7 757 233 58 74 жазыңыз",suspicious,,kk,synthetic_template_kz
"Сәлеметсіз бе, Әсел! Ертең сағат 12:00-де дәрігерге жазылғаныңызды еске саламыз",safe,,kk,synthetic_template_kz
Одобрен займ до 84 000 тг без справок и залога. Оформить за 5 минут: beeline.kz,suspicious,,ru,synthetic_template_kz
Вам поступил Kaspi Bonus 15% на 7 000 000 тг. Активация forte-cabinet.pro,scam,kaspi_scam,ru,synthetic_template_kz
"Beeline: тариф ұзартылды, 4187 тг есептен шығарылды",safe,,kk,synthetic_template_kz
Сенбі күні футбол ойыны болады.,safe,,kk,github_Yerassyl04_Spam-kazakh
Activ: срок действия SIM истекает. Продлите регистрацию beeline-bonus.icu,scam,phishing,ru,synthetic_template_kz
Повестка  в  суд по делу №38578. Материалы дела: halyk-verify.xyz,scam,fake_police,ru,synthetic_template_kz
"Возврат страховки по кредиту. Проверьте, положена ли вам компенсация: +7 734 254 62 63",suspicious,,ru,synthetic_template_kz
АЭС жайлы ақпарат алу қажет,safe,,kk,github_Yerassyl04_Spam-kazakh
Kaspi: перевод 4 000 000 тг от Мадина ожидaет подтверждения. Пoдтвердить: egov-kz.online,scam,kaspi_scam,ru,synthetic_template_kz
Тек бүгін! Temu дүкенінде барлық тауарға 50% жеңілдік. Түн ортасына дейін үлгеріңіз,suspicious,,kk,synthetic_template_kz
Розыгрыш к 30-летию! Вам начислен бонус 24 000 тг. Для вывода оплатите комиссию 4550 тг,scam,fake_prize,ru,synthetic_template_kz
"izi: 21 ГБ және 727 минут қалды, 19.2 дейін",safe,,kk,synthetic_template_kz
ПОЗДРАВЛЯЕМ! ВЫ ВЫИГРАЛИ 36 500 ТГ В РОЗЫГРЫШЕ BEREKE BANK. ЗАБРАТЬ ПРИЗ: KZ-VYIGRYSH.NET,scam,fake_prize,ru,synthetic_template_kz
"Оплата ЖКХ за февраль принята, сумма 64 000 тг",safe,,ru,synthetic_template_kz
"SE-2420 тобының жиналысы 12:00-де, 3 корпус",safe,,kk,synthetic_template_kz
БЖЗҚ дерекқоры жаңартылды. Сізге 85 000 тг төлем есептелді. Алу: bonus-kz.click,scam,phishing,kk,synthetic_template_kz
"izi: тариф продлeн, списано 5150 тг. Следующеe списание 2.3",safe,,ru,synthetic_template_kz
Нөміріңіз зейнетақыны қайtа есептеуге қатысады. ФорmаHы толтырыңыз kaspi-gold.site,scam,phishing,kk,synthetic_template_kz
"Алгебра сабағы 14:00-ге ауыстырылды, 219 аудитория",safe,,kk,synthetic_template_kz
Тек қазір: 90%-ға дейін жеңілдіктер!,suspicious,,kk,github_Yerassyl04_Spam-kazakh
Ваш код подтверждения для входа: 683511,safe,,ru,synthetic_template_kz
eGov: ваша справка готова. Скачать в мобильном приложении или на wildberries.kz,safe,,ru,synthetic_template_kz
Розыгрыш  к  30-летию! Вам начислен бонус 78 700 тг. Для вывода оплатите комиссию 3946 тг,scam,fake_prize,ru,synthetic_template_kz
Ваш номер выбран победителем акции Tele2! Приз 79 000 тг. Подтвердите: halyk-verify.xyz,scam,fake_prize,ru,synthetic_template_kz
Altel: остаток 21 ГБ и 623 минут до 11.6,safe,,ru,synthetic_template_kz
Kaspi: код 879747. Ешкімге айтпаңыз.,safe,,kk,synthetic_template_kz
Сізге 5 000 000 тг сомасына Kaspi Bonus 14% түсті. Белсендіру beeline-bonus . icu,scam,kaspi_scam,kk,synthetic_template_kz
КНБ РК. Наложен арест на счета. Снять ограничение в течение 2 часов: wb-kz-prize.shop,scam,fake_police,ru,synthetic_template_kz
№973706 тапсырысыңыз Boxberry пунктіне жетті. 5 күн ішінде алыңыз,safe,,kk,synthetic_template_kz
"Возврат страховки по кредиту. Проверьте, положена ли вам компенсация: +7 774 381 72 55",suspicious,,ru,synthetic_template_kz
"Внимание! Ваша кaрtа *7091 скомпрометированa. Переведите средства на резервный счет, инструкция: kaspi-bonus.top",scam,fake_bank,ru,synthetic_template_kz
"Оплата ЖКХ за май принята, сумма 83 000 тг",safe,,ru,synthetic_template_kz
Beeline:  подключена  подписка за 404 тг/нед. Отключить *524#,suspicious,,ru,synthetic_template_kz
"УРА! Мадина, вам одобрена выплата 72 700 тг. Реквизиты укажите тут gov-kz.support",scam,fake_prize,ru,synthetic_template_kz
Ваш номер участвует в перерасчете пенсии. Заполните форму forte-cabinet.pro до конца недели,scam,phishing,ru,synthetic_template_kz
"Otbasy Bank: 50 000 тг сатып алу, карта *4683. Қолетімді 41 000 тг",safe,,kk,synthetic_template_kz
Kaspi Gold: код 849483. Ешкімге айтпаңыз. Егер бұл сіз болмасаңыз +7 764 115 13 91 нөміріне қоңырау шалыңыз,scam,kaspi_scam,kk,synthetic_template_kz
Антифрод-центр. Наложен арест на счета. Снять ограничение до конца дня: wb-kz-prize.shop,scam,fake_police,ru,synthetic_template_kz
Достарымен бірге демалыс өткізу туралы идеялар.,safe,,kk,github_Yerassyl04_Spam-kazakh
"Сізге алаяқтар несие рәсімдеген. Істі Антифрод орталығы жүргізуде, оператор +7 747 305 97 32",scam,fake_police,kk,synthetic_template_kz
Ваша заявка на карту рассмотрена. Перезвоните +7 700 740 25 38 для активации,suspicious,,ru,synthetic_template_kz
№155776 тапсырысыңыз Яндекс Доставка пунктіне жетті. 5 күн ішінде алыңыз 🔴,safe,,kk,synthetic_template_kz
